Last6VFlow,VFlow
[11 16 26 10 14 2],4
[16 26 10 14 2 4],7
[26 10 14 2 4 7],5
[10 14 2 4 7 5],3
[14 2 4 7 5 3],6
[2 4 7 5 3 6],2
[4 7 5 3 6 2],3
[7 5 3 6 2 3],3
[5 3 6 2 3 3],5
[3 6 2 3 3 5],2
[6 2 3 3 5 2],0
[2 3 3 5 2 0],4
[3 3 5 2 0 4],3
[3 5 2 0 4 3],9
[5 2 0 4 3 9],4
[2 0 4 3 9 4],2
[0 4 3 9 4 2],6
[4 3 9 4 2 6],3
[3 9 4 2 6 3],2
[9 4 2 6 3 2],9
[4 2 6 3 2 9],24
[2 6 3 2 9 24],10
[6 3 2 9 24 10],14
[3 2 9 24 10 14],18
[2 9 24 10 14 18],23
[9 24 10 14 18 23],22
[24 10 14 18 23 22],23
[10 14 18 23 22 23],24
[14 18 23 22 23 24],39
[18 23 22 23 24 39],46
[23 22 23 24 39 46],34
[22 23 24 39 46 34],60
[23 24 39 46 34 60],63
[24 39 46 34 60 63],93
[39 46 34 60 63 93],106
[46 34 60 63 93 106],91
[34 60 63 93 106 91],85
[60 63 93 106 91 85],89
[63 93 106 91 85 89],88
[93 106 91 85 89 88],74
[106 91 85 89 88 74],169
[91 85 89 88 74 169],122
[85 89 88 74 169 122],93
[89 88 74 169 122 93],86
[88 74 169 122 93 86],109
[74 169 122 93 86 109],89
[169 122 93 86 109 89],127
[122 93 86 109 89 127],92
[93 86 109 89 127 92],135
[86 109 89 127 92 135],130
[109 89 127 92 135 130],115
[89 127 92 135 130 115],86
[127 92 135 130 115 86],91
[92 135 130 115 86 91],121
[135 130 115 86 91 121],71
[130 115 86 91 121 71],104
[115 86 91 121 71 104],90
[86 91 121 71 104 90],117
[91 121 71 104 90 117],86
[121 71 104 90 117 86],74
[71 104 90 117 86 74],90
[104 90 117 86 74 90],75
[90 117 86 74 90 75],69
[117 86 74 90 75 69],95
[86 74 90 75 69 95],68
[74 90 75 69 95 68],82
[90 75 69 95 68 82],131
[75 69 95 68 82 131],60
[69 95 68 82 131 60],48
[95 68 82 131 60 48],49
[68 82 131 60 48 49],42
[82 131 60 48 49 42],58
[131 60 48 49 42 58],34
[60 48 49 42 58 34],25
[48 49 42 58 34 25],52
[49 42 58 34 25 52],23
[42 58 34 25 52 23],25
[58 34 25 52 23 25],27
[34 25 52 23 25 27],56
[25 52 23 25 27 56],24
[52 23 25 27 56 24],20
[23 25 27 56 24 20],21
[25 27 56 24 20 21],16
[27 56 24 20 21 16],12
[56 24 20 21 16 12],16
[24 20 21 16 12 16],9
[20 21 16 12 16 9],8
[21 16 12 16 9 8],5
[16 12 16 9 8 5],5
[12 16 9 8 5 5],4
[7 4 2 3 4 2],2
[4 2 3 4 2 2],0
[2 3 4 2 2 0],1
[3 4 2 2 0 1],2
[4 2 2 0 1 2],2
[2 2 0 1 2 2],1
[2 0 1 2 2 1],0
[0 1 2 2 1 0],2
[1 2 2 1 0 2],0
[2 2 1 0 2 0],2
[2 1 0 2 0 2],1
[1 0 2 0 2 1],3
[0 2 0 2 1 3],0
[2 0 2 1 3 0],0
[0 2 1 3 0 0],6
[2 1 3 0 0 6],8
[1 3 0 0 6 8],10
[3 0 0 6 8 10],22
[0 0 6 8 10 22],24
[0 6 8 10 22 24],38
[6 8 10 22 24 38],82
[8 10 22 24 38 82],80
[10 22 24 38 82 80],139
[22 24 38 82 80 139],224
[24 38 82 80 139 224],300
[38 82 80 139 224 300],276
[82 80 139 224 300 276],322
[80 139 224 300 276 322],257
[139 224 300 276 322 257],255
[224 300 276 322 257 255],206
[300 276 322 257 255 206],228
[276 322 257 255 206 228],165
[322 257 255 206 228 165],153
[257 255 206 228 165 153],135
[255 206 228 165 153 135],108
[206 228 165 153 135 108],108
[228 165 153 135 108 108],115
[165 153 135 108 108 115],84
[153 135 108 108 115 84],118
[135 108 108 115 84 118],132
[108 108 115 84 118 132],119
[108 115 84 118 132 119],117
[115 84 118 132 119 117],87
[84 118 132 119 117 87],86
[118 132 119 117 87 86],108
[132 119 117 87 86 108],79
[119 117 87 86 108 79],130
[117 87 86 108 79 130],92
[87 86 108 79 130 92],112
[86 108 79 130 92 112],78
[108 79 130 92 112 78],100
[79 130 92 112 78 100],100
[130 92 112 78 100 100],90
[92 112 78 100 100 90],110
[112 78 100 100 90 110],89
[78 100 100 90 110 89],97
[100 100 90 110 89 97],146
[100 90 110 89 97 146],133
[90 110 89 97 146 133],125
[110 89 97 146 133 125],98
[89 97 146 133 125 98],114
[97 146 133 125 98 114],101
[146 133 125 98 114 101],110
[133 125 98 114 101 110],124
[125 98 114 101 110 124],130
[98 114 101 110 124 130],82
[114 101 110 124 130 82],105
[101 110 124 130 82 105],119
[110 124 130 82 105 119],117
[124 130 82 105 119 117],87
[130 82 105 119 117 87],59
[82 105 119 117 87 59],74
[105 119 117 87 59 74],78
[119 117 87 59 74 78],87
