Last6VFlow,VFlow
[15 17 13 6 12 6],8
[17 13 6 12 6 8],5
[13 6 12 6 8 5],7
[6 12 6 8 5 7],5
[12 6 8 5 7 5],6
[6 8 5 7 5 6],3
[8 5 7 5 6 3],10
[5 7 5 6 3 10],10
[7 5 6 3 10 10],6
[5 6 3 10 10 6],7
[6 3 10 10 6 7],8
[3 10 10 6 7 8],4
[10 10 6 7 8 4],5
[10 6 7 8 4 5],16
[6 7 8 4 5 16],12
[7 8 4 5 16 12],21
[8 4 5 16 12 21],38
[4 5 16 12 21 38],42
[5 16 12 21 38 42],44
[16 12 21 38 42 44],76
[12 21 38 42 44 76],95
[21 38 42 44 76 95],111
[38 42 44 76 95 111],139
[42 44 76 95 111 139],203
[44 76 95 111 139 203],209
[76 95 111 139 203 209],266
[95 111 139 203 209 266],240
[111 139 203 209 266 240],237
[139 203 209 266 240 237],215
[203 209 266 240 237 215],203
[209 266 240 237 215 203],175
[266 240 237 215 203 175],124
[240 237 215 203 175 124],153
[237 215 203 175 124 153],122
[215 203 175 124 153 122],132
[203 175 124 153 122 132],127
[175 124 153 122 132 127],121
[124 153 122 132 127 121],136
[153 122 132 127 121 136],125
[122 132 127 121 136 125],139
[132 127 121 136 125 139],128
[127 121 136 125 139 128],113
[121 136 125 139 128 113],136
[136 125 139 128 113 136],128
[125 139 128 113 136 128],96
[139 128 113 136 128 96],116
[128 113 136 128 96 116],140
[113 136 128 96 116 140],155
[136 128 96 116 140 155],110
[128 96 116 140 155 110],124
[96 116 140 155 110 124],105
[116 140 155 110 124 105],130
[140 155 110 124 105 130],142
[155 110 124 105 130 142],120
[110 124 105 130 142 120],133
[124 105 130 142 120 133],110
[105 130 142 120 133 110],107
[130 142 120 133 110 107],135
[142 120 133 110 107 135],128
[120 133 110 107 135 128],131
[133 110 107 135 128 131],159
[110 107 135 128 131 159],136
[107 135 128 131 159 136],136
[135 128 131 159 136 136],174
[128 131 159 136 136 174],133
[131 159 136 136 174 133],122
[159 136 136 174 133 122],133
[136 136 174 133 122 133],123
[136 174 133 122 133 123],123
[174 133 122 133 123 123],96
[133 122 133 123 123 96],104
[122 133 123 123 96 104],90
[133 123 123 96 104 90],73
[123 123 96 104 90 73],73
[123 96 104 90 73 73],74
[96 104 90 73 73 74],50
[104 90 73 73 74 50],54
[90 73 73 74 50 54],47
[73 73 74 50 54 47],52
[73 74 50 54 47 52],51
[74 50 54 47 52 51],60
[50 54 47 52 51 60],32
[54 47 52 51 60 32],48
[47 52 51 60 32 48],44
[52 51 60 32 48 44],52
[51 60 32 48 44 52],26
[60 32 48 44 52 26],25
[32 48 44 52 26 25],21
[48 44 52 26 25 21],13
[44 52 26 25 21 13],17
[18 8 12 11 10 4],3
[8 12 11 10 4 3],1
[12 11 10 4 3 1],7
[11 10 4 3 1 7],6
[10 4 3 1 7 6],5
[4 3 1 7 6 5],4
[3 1 7 6 5 4],2
[1 7 6 5 4 2],2
[7 6 5 4 2 2],3
[6 5 4 2 2 3],6
[5 4 2 2 3 6],7
[4 2 2 3 6 7],11
[2 2 3 6 7 11],15
[2 3 6 7 11 15],14
[3 6 7 11 15 14],17
[6 7 11 15 14 17],28
[7 11 15 14 17 28],30
[11 15 14 17 28 30],44
[15 14 17 28 30 44],66
[14 17 28 30 44 66],104
[17 28 30 44 66 104],117
[28 30 44 66 104 117],124
[30 44 66 104 117 124],183
[44 66 104 117 124 183],241
[66 104 117 124 183 241],225
[104 117 124 183 241 225],246
[117 124 183 241 225 246],289
[124 183 241 225 246 289],247
[183 241 225 246 289 247],207
[241 225 246 289 247 207],188
[225 246 289 247 207 188],187
[246 289 247 207 188 187],157
[289 247 207 188 187 157],132
[247 207 188 187 157 132],146
[207 188 187 157 132 146],120
[188 187 157 132 146 120],146
[187 157 132 146 120 146],134
[157 132 146 120 146 134],123
[132 146 120 146 134 123],114
[146 120 146 134 123 114],125
[120 146 134 123 114 125],125
[146 134 123 114 125 125],127
[134 123 114 125 125 127],117
[123 114 125 125 127 117],167
[114 125 125 127 117 167],139
[125 125 127 117 167 139],132
[125 127 117 167 139 132],116
[127 117 167 139 132 116],151
[117 167 139 132 116 151],120
[167 139 132 116 151 120],133
[139 132 116 151 120 133],124
[132 116 151 120 133 124],150
[116 151 120 133 124 150],110
[151 120 133 124 150 110],159
[120 133 124 150 110 159],147
[133 124 150 110 159 147],167
[124 150 110 159 147 167],160
[150 110 159 147 167 160],142
[110 159 147 167 160 142],137
[159 147 167 160 142 137],149
[147 167 160 142 137 149],148
[167 160 142 137 149 148],131
[160 142 137 149 148 131],185
[142 137 149 148 131 185],133
[137 149 148 131 185 133],168
[149 148 131 185 133 168],146
[148 131 185 133 168 146],149
[131 185 133 168 146 149],134
[185 133 168 146 149 134],127
[133 168 146 149 134 127],126
[168 146 149 134 127 126],133
[146 149 134 127 126 133],103
[149 134 127 126 133 103],107
[134 127 126 133 103 107],73
[127 126 133 103 107 73],70
[126 133 103 107 73 70],68
[133 103 107 73 70 68],58
[103 107 73 70 68 58],72
[107 73 70 68 58 72],78
[73 70 68 58 72 78],59
[70 68 58 72 78 59],65
[68 58 72 78 59 65],69
[58 72 78 59 65 69],64
[72 78 59 65 69 64],58
[78 59 65 69 64 58],43
[59 65 69 64 58 43],36
[65 69 64 58 43 36],32
[69 64 58 43 36 32],41
[64 58 43 36 32 41],36
[58 43 36 32 41 36],14
[15 16 10 6 3 3],5
[16 10 6 3 3 5],8
[10 6 3 3 5 8],4
[6 3 3 5 8 4],6
[3 3 5 8 4 6],4
[3 5 8 4 6 4],6
[5 8 4 6 4 6],4
[8 4 6 4 6 4],5
[4 6 4 6 4 5],6
[6 4 6 4 5 6],2
[4 6 4 5 6 2],3
[6 4 5 6 2 3],2
[4 5 6 2 3 2],10
[5 6 2 3 2 10],7
[6 2 3 2 10 7],15
[2 3 2 10 7 15],26
[3 2 10 7 15 26],50
[2 10 7 15 26 50],58
[10 7 15 26 50 58],63
[7 15 26 50 58 63],90
[15 26 50 58 63 90],132
[26 50 58 63 90 132],122
[50 58 63 90 132 122],182
[58 63 90 132 122 182],198
[63 90 132 122 182 198],233
[90 132 122 182 198 233],258
[132 122 182 198 233 258],265
[122 182 198 233 258 265],266
[182 198 233 258 265 266],206
[198 233 258 265 266 206],250
[233 258 265 266 206 250],161
[258 265 266 206 250 161],148
[265 266 206 250 161 148],162
[266 206 250 161 148 162],138
[206 250 161 148 162 138],127
[250 161 148 162 138 127],160
[161 148 162 138 127 160],148
[148 162 138 127 160 148],135
[162 138 127 160 148 135],121
[138 127 160 148 135 121],130
[127 160 148 135 121 130],128
[160 148 135 121 130 128],150
[148 135 121 130 128 150],135
[135 121 130 128 150 135],165
[121 130 128 150 135 165],118
[130 128 150 135 165 118],122
[128 150 135 165 118 122],131
[150 135 165 118 122 131],134
[135 165 118 122 131 134],119
[165 118 122 131 134 119],136
[118 122 131 134 119 136],122
[122 131 134 119 136 122],119
[131 134 119 136 122 119],126
[134 119 136 122 119 126],118
[119 136 122 119 126 118],131
[136 122 119 126 118 131],126
[122 119 126 118 131 126],160
[119 126 118 131 126 160],141
[126 118 131 126 160 141],126
[118 131 126 160 141 126],149
[131 126 160 141 126 149],160
[126 160 141 126 149 160],159
[160 141 126 149 160 159],137
[141 126 149 160 159 137],148
[126 149 160 159 137 148],156
[149 160 159 137 148 156],153
[160 159 137 148 156 153],146
[159 137 148 156 153 146],128
[137 148 156 153 146 128],125
[148 156 153 146 128 125],145
[156 153 146 128 125 145],103
[153 146 128 125 145 103],101
[146 128 125 145 103 101],96
[128 125 145 103 101 96],83
[125 145 103 101 96 83],86
[145 103 101 96 83 86],52
[103 101 96 83 86 52],77
[101 96 83 86 52 77],73
[96 83 86 52 77 73],64
[83 86 52 77 73 64],66
[86 52 77 73 64 66],66
[52 77 73 64 66 66],55
[77 73 64 66 66 55],55
[73 64 66 66 55 55],56
[64 66 66 55 55 56],33
[66 66 55 55 56 33],45
[66 55 55 56 33 45],29
[55 55 56 33 45 29],26
[55 56 33 45 29 26],24
[56 33 45 29 26 24],23
[12 17 18 8 12 8],7
[17 18 8 12 8 7],7
[18 8 12 8 7 7],6
[8 12 8 7 7 6],4
[12 8 7 7 6 4],3
[8 7 7 6 4 3],5
[7 7 6 4 3 5],5
[7 6 4 3 5 5],7
[6 4 3 5 5 7],4
[4 3 5 5 7 4],5
[3 5 5 7 4 5],8
[5 5 7 4 5 8],8
[5 7 4 5 8 8],16
[7 4 5 8 8 16],11
[4 5 8 8 16 11],9
[5 8 8 16 11 9],27
[8 8 16 11 9 27],44
[8 16 11 9 27 44],52
[16 11 9 27 44 52],79
[11 9 27 44 52 79],93
[9 27 44 52 79 93],144
[27 44 52 79 93 144],160
[44 52 79 93 144 160],166
[52 79 93 144 160 166],238
[79 93 144 160 166 238],205
[93 144 160 166 238 205],258
[144 160 166 238 205 258],261
[160 166 238 205 258 261],253
[166 238 205 258 261 253],209
[238 205 258 261 253 209],220
[205 258 261 253 209 220],185
[258 261 253 209 220 185],163
[261 253 209 220 185 163],200
[253 209 220 185 163 200],150
[209 220 185 163 200 150],143
[220 185 163 200 150 143],154
[185 163 200 150 143 154],128
[163 200 150 143 154 128],112
[200 150 143 154 128 112],129
[150 143 154 128 112 129],123
[143 154 128 112 129 123],120
[154 128 112 129 123 120],146
[128 112 129 123 120 146],135
[112 129 123 120 146 135],133
[129 123 120 146 135 133],144
[123 120 146 135 133 144],126
[120 146 135 133 144 126],132
[146 135 133 144 126 132],143
[135 133 144 126 132 143],126
[133 144 126 132 143 126],128
[144 126 132 143 126 128],123
[126 132 143 126 128 123],119
[132 143 126 128 123 119],133
[143 126 128 123 119 133],158
[126 128 123 119 133 158],133
[128 123 119 133 158 133],142
[123 119 133 158 133 142],130
[119 133 158 133 142 130],156
[133 158 133 142 130 156],160
[158 133 142 130 156 160],109
[133 142 130 156 160 109],139
[142 130 156 160 109 139],133
[130 156 160 109 139 133],161
[156 160 109 139 133 161],188
[160 109 139 133 161 188],157
[109 139 133 161 188 157],135
[139 133 161 188 157 135],177
[133 161 188 157 135 177],142
[161 188 157 135 177 142],119
[188 157 135 177 142 119],119
[157 135 177 142 119 119],114
[135 177 142 119 119 114],104
[177 142 119 119 114 104],86
[142 119 119 114 104 86],94
[119 119 114 104 86 94],79
[119 114 104 86 94 79],78
[114 104 86 94 79 78],59
[104 86 94 79 78 59],72
[86 94 79 78 59 72],71
[94 79 78 59 72 71],59
[79 78 59 72 71 59],59
[78 59 72 71 59 59],63
[59 72 71 59 59 63],56
[72 71 59 59 63 56],70
[71 59 59 63 56 70],55
[59 59 63 56 70 55],35
[59 63 56 70 55 35],37
[63 56 70 55 35 37],34
[56 70 55 35 37 34],14
[70 55 35 37 34 14],32
[24 10 18 11 10 13],4
[10 18 11 10 13 4],8
[18 11 10 13 4 8],8
[11 10 13 4 8 8],4
[10 13 4 8 8 4],7
[13 4 8 8 4 7],4
[4 8 8 4 7 4],12
[8 8 4 7 4 12],7
[8 4 7 4 12 7],11
[4 7 4 12 7 11],7
[7 4 12 7 11 7],7
[4 12 7 11 7 7],3
[12 7 11 7 7 3],11
[7 11 7 7 3 11],9
[11 7 7 3 11 9],19
[7 7 3 11 9 19],22
[7 3 11 9 19 22],42
[3 11 9 19 22 42],61
[11 9 19 22 42 61],64
[9 19 22 42 61 64],103
[19 22 42 61 64 103],124
[22 42 61 64 103 124],145
[42 61 64 103 124 145],170
[61 64 103 124 145 170],201
[64 103 124 145 170 201],231
[103 124 145 170 201 231],260
[124 145 170 201 231 260],261
[145 170 201 231 260 261],241
[170 201 231 260 261 241],222
[201 231 260 261 241 222],222
[231 260 261 241 222 222],172
[260 261 241 222 222 172],181
[261 241 222 222 172 181],130
[241 222 222 172 181 130],180
[222 222 172 181 130 180],147
[222 172 181 130 180 147],128
[172 181 130 180 147 128],130
[181 130 180 147 128 130],139
[130 180 147 128 130 139],132
[180 147 128 130 139 132],130
[147 128 130 139 132 130],123
[128 130 139 132 130 123],158
[130 139 132 130 123 158],141
[139 132 130 123 158 141],152
[132 130 123 158 141 152],133
[130 123 158 141 152 133],136
[123 158 141 152 133 136],118
[158 141 152 133 136 118],137
[141 152 133 136 118 137],130
[152 133 136 118 137 130],111
[133 136 118 137 130 111],134
[136 118 137 130 111 134],147
[118 137 130 111 134 147],147
[137 130 111 134 147 147],130
[130 111 134 147 147 130],138
[111 134 147 147 130 138],131
[134 147 147 130 138 131],137
[147 147 130 138 131 137],145
[147 130 138 131 137 145],140
[130 138 131 137 145 140],148
[138 131 137 145 140 148],183
[131 137 145 140 148 183],150
[137 145 140 148 183 150],157
[145 140 148 183 150 157],182
[140 148 183 150 157 182],165
[148 183 150 157 182 165],189
[183 150 157 182 165 189],145
[150 157 182 165 189 145],157
[157 182 165 189 145 157],142
[182 165 189 145 157 142],154
[165 189 145 157 142 154],139
[189 145 157 142 154 139],114
[145 157 142 154 139 114],134
[157 142 154 139 114 134],93
[142 154 139 114 134 93],116
[154 139 114 134 93 116],98
[139 114 134 93 116 98],83
[114 134 93 116 98 83],71
[134 93 116 98 83 71],84
[93 116 98 83 71 84],69
[116 98 83 71 84 69],66
[98 83 71 84 69 66],63
[83 71 84 69 66 63],75
[71 84 69 66 63 75],62
[84 69 66 63 75 62],67
[69 66 63 75 62 67],62
[66 63 75 62 67 62],59
[63 75 62 67 62 59],51
[75 62 67 62 59 51],50
[62 67 62 59 51 50],39
[49 24 28 28 24 18],18
[24 28 28 24 18 18],29
[28 28 24 18 18 29],23
[28 24 18 18 29 23],15
[24 18 18 29 23 15],8
[18 18 29 23 15 8],18
[18 29 23 15 8 18],23
[29 23 15 8 18 23],10
[23 15 8 18 23 10],16
[15 8 18 23 10 16],13
[8 18 23 10 16 13],7
[18 23 10 16 13 7],14
[23 10 16 13 7 14],6
[10 16 13 7 14 6],8
[16 13 7 14 6 8],9
[13 7 14 6 8 9],18
[7 14 6 8 9 18],20
[14 6 8 9 18 20],30
[6 8 9 18 20 30],26
[8 9 18 20 30 26],35
[9 18 20 30 26 35],65
[18 20 30 26 35 65],46
[20 30 26 35 65 46],47
[30 26 35 65 46 47],60
[26 35 65 46 47 60],81
[35 65 46 47 60 81],88
[65 46 47 60 81 88],80
[46 47 60 81 88 80],110
[47 60 81 88 80 110],136
[60 81 88 80 110 136],125
[81 88 80 110 136 125],101
[88 80 110 136 125 101],120
[80 110 136 125 101 120],102
[110 136 125 101 120 102],151
[136 125 101 120 102 151],165
[125 101 120 102 151 165],144
[101 120 102 151 165 144],156
[120 102 151 165 144 156],155
[102 151 165 144 156 155],141
[151 165 144 156 155 141],149
[165 144 156 155 141 149],175
[144 156 155 141 149 175],152
[156 155 141 149 175 152],164
[155 141 149 175 152 164],162
[141 149 175 152 164 162],155
[149 175 152 164 162 155],169
[175 152 164 162 155 169],172
[152 164 162 155 169 172],148
[164 162 155 169 172 148],149
[162 155 169 172 148 149],132
[155 169 172 148 149 132],150
[169 172 148 149 132 150],134
[172 148 149 132 150 134],130
[148 149 132 150 134 130],118
[149 132 150 134 130 118],117
[132 150 134 130 118 117],114
[150 134 130 118 117 114],122
[134 130 118 117 114 122],144
[130 118 117 114 122 144],125
[118 117 114 122 144 125],95
[117 114 122 144 125 95],121
[114 122 144 125 95 121],110
[122 144 125 95 121 110],125
[144 125 95 121 110 125],129
[125 95 121 110 125 129],113
[95 121 110 125 129 113],131
[121 110 125 129 113 131],115
[110 125 129 113 131 115],105
[125 129 113 131 115 105],105
[129 113 131 115 105 105],131
[113 131 115 105 105 131],107
[131 115 105 105 131 107],114
[115 105 105 131 107 114],91
[105 105 131 107 114 91],87
[105 131 107 114 91 87],81
[131 107 114 91 87 81],77
[107 114 91 87 81 77],76
[114 91 87 81 77 76],58
[91 87 81 77 76 58],76
[87 81 77 76 58 76],60
[81 77 76 58 76 60],53
[77 76 58 76 60 53],64
[76 58 76 60 53 64],79
[58 76 60 53 64 79],80
[76 60 53 64 79 80],81
[60 53 64 79 80 81],56
[53 64 79 80 81 56],58
[64 79 80 81 56 58],66
[79 80 81 56 58 66],87
[80 81 56 58 66 87],48
[49 48 34 45 25 27],30
[48 34 45 25 27 30],19
[34 45 25 27 30 19],22
[45 25 27 30 19 22],23
[25 27 30 19 22 23],17
[27 30 19 22 23 17],19
[30 19 22 23 17 19],26
[19 22 23 17 19 26],17
[22 23 17 19 26 17],21
[23 17 19 26 17 21],13
[17 19 26 17 21 13],10
[19 26 17 21 13 10],18
[26 17 21 13 10 18],13
[17 21 13 10 18 13],11
[21 13 10 18 13 11],17
[13 10 18 13 11 17],16
[10 18 13 11 17 16],11
[18 13 11 17 16 11],16
[13 11 17 16 11 16],34
[11 17 16 11 16 34],28
[17 16 11 16 34 28],29
[16 11 16 34 28 29],26
[11 16 34 28 29 26],28
[16 34 28 29 26 28],29
[34 28 29 26 28 29],36
[28 29 26 28 29 36],54
[29 26 28 29 36 54],45
[26 28 29 36 54 45],56
[28 29 36 54 45 56],83
[29 36 54 45 56 83],70
[36 54 45 56 83 70],84
[54 45 56 83 70 84],114
[45 56 83 70 84 114],112
[56 83 70 84 114 112],104
[83 70 84 114 112 104],101
[70 84 114 112 104 101],113
[84 114 112 104 101 113],111
[114 112 104 101 113 111],119
[112 104 101 113 111 119],128
[104 101 113 111 119 128],111
[101 113 111 119 128 111],138
[113 111 119 128 111 138],139
[111 119 128 111 138 139],127
[119 128 111 138 139 127],151
[128 111 138 139 127 151],157
[111 138 139 127 151 157],125
[138 139 127 151 157 125],149
[139 127 151 157 125 149],153
[127 151 157 125 149 153],124
[151 157 125 149 153 124],111
[157 125 149 153 124 111],108
[125 149 153 124 111 108],133
[149 153 124 111 108 133],95
[153 124 111 108 133 95],88
[124 111 108 133 95 88],94
[111 108 133 95 88 94],114
[108 133 95 88 94 114],115
[133 95 88 94 114 115],117
[95 88 94 114 115 117],115
[88 94 114 115 117 115],131
[94 114 115 117 115 131],119
[114 115 117 115 131 119],103
[115 117 115 131 119 103],92
[117 115 131 119 103 92],123
[115 131 119 103 92 123],85
[131 119 103 92 123 85],98
[119 103 92 123 85 98],83
[103 92 123 85 98 83],117
[92 123 85 98 83 117],84
[123 85 98 83 117 84],68
[85 98 83 117 84 68],89
[98 83 117 84 68 89],65
[83 117 84 68 89 65],50
[117 84 68 89 65 50],52
[84 68 89 65 50 52],49
[68 89 65 50 52 49],60
[89 65 50 52 49 60],51
[65 50 52 49 60 51],55
[50 52 49 60 51 55],60
[52 49 60 51 55 60],56
[49 60 51 55 60 56],41
[60 51 55 60 56 41],40
[51 55 60 56 41 40],44
[55 60 56 41 40 44],28
[60 56 41 40 44 28],23
[56 41 40 44 28 23],20
[41 40 44 28 23 20],23
[40 44 28 23 20 23],16
[44 28 23 20 23 16],16
[28 23 20 23 16 16],11
[14 9 10 9 9 6],4
[9 10 9 9 6 4],4
[10 9 9 6 4 4],9
[9 9 6 4 4 9],2
[9 6 4 4 9 2],4
[6 4 4 9 2 4],6
[4 4 9 2 4 6],7
[4 9 2 4 6 7],5
[9 2 4 6 7 5],5
[2 4 6 7 5 5],9
[4 6 7 5 5 9],6
[6 7 5 5 9 6],4
[7 5 5 9 6 4],8
[5 5 9 6 4 8],9
[5 9 6 4 8 9],13
[9 6 4 8 9 13],22
[6 4 8 9 13 22],45
[4 8 9 13 22 45],53
[8 9 13 22 45 53],63
[9 13 22 45 53 63],71
[13 22 45 53 63 71],104
