Last6VFlow,VFlow
[26 21 27 24 19 15],16
[21 27 24 19 15 16],12
[27 24 19 15 16 12],9
[24 19 15 16 12 9],13
[19 15 16 12 9 13],12
[15 16 12 9 13 12],8
[16 12 9 13 12 8],9
[12 9 13 12 8 9],10
[9 13 12 8 9 10],4
[13 12 8 9 10 4],3
[12 8 9 10 4 3],11
[8 9 10 4 3 11],6
[9 10 4 3 11 6],6
[10 4 3 11 6 6],0
[4 3 11 6 6 0],8
[3 11 6 6 0 8],7
[11 6 6 0 8 7],8
[6 6 0 8 7 8],5
[6 0 8 7 8 5],6
[0 8 7 8 5 6],8
[8 7 8 5 6 8],13
[7 8 5 6 8 13],16
[8 5 6 8 13 16],21
[5 6 8 13 16 21],21
[6 8 13 16 21 21],22
[8 13 16 21 21 22],30
[13 16 21 21 22 30],29
[16 21 21 22 30 29],40
[21 21 22 30 29 40],30
[21 22 30 29 40 30],43
[22 30 29 40 30 43],57
[30 29 40 30 43 57],60
[29 40 30 43 57 60],66
[40 30 43 57 60 66],74
[30 43 57 60 66 74],69
[43 57 60 66 74 69],79
[57 60 66 74 69 79],82
[60 66 74 69 79 82],73
[66 74 69 79 82 73],97
[74 69 79 82 73 97],97
[69 79 82 73 97 97],94
[79 82 73 97 97 94],77
[82 73 97 97 94 77],87
[73 97 97 94 77 87],95
[97 97 94 77 87 95],74
[97 94 77 87 95 74],78
[94 77 87 95 74 78],71
[77 87 95 74 78 71],78
[87 95 74 78 71 78],87
[95 74 78 71 78 87],81
[74 78 71 78 87 81],80
[78 71 78 87 81 80],75
[71 78 87 81 80 75],76
[78 87 81 80 75 76],83
[87 81 80 75 76 83],75
[81 80 75 76 83 75],83
[80 75 76 83 75 83],85
[75 76 83 75 83 85],84
[76 83 75 83 85 84],83
[83 75 83 85 84 83],76
[75 83 85 84 83 76],83
[83 85 84 83 76 83],75
[85 84 83 76 83 75],75
[84 83 76 83 75 75],86
[83 76 83 75 75 86],80
[76 83 75 75 86 80],67
[83 75 75 86 80 67],74
[75 75 86 80 67 74],73
[75 86 80 67 74 73],65
[86 80 67 74 73 65],80
[80 67 74 73 65 80],67
[67 74 73 65 80 67],36
[74 73 65 80 67 36],38
[73 65 80 67 36 38],39
[65 80 67 36 38 39],34
[80 67 36 38 39 34],28
[67 36 38 39 34 28],34
[36 38 39 34 28 34],24
[38 39 34 28 34 24],41
[39 34 28 34 24 41],58
[34 28 34 24 41 58],46
[28 34 24 41 58 46],32
[34 24 41 58 46 32],24
[24 41 58 46 32 24],15
[41 58 46 32 24 15],23
[58 46 32 24 15 23],14
[46 32 24 15 23 14],8
[32 24 15 23 14 8],11
[24 15 23 14 8 11],17
[15 23 14 8 11 17],9
[4 5 8 4 5 3],4
[5 8 4 5 3 4],2
[8 4 5 3 4 2],0
[4 5 3 4 2 0],2
[5 3 4 2 0 2],4
[3 4 2 0 2 4],2
[4 2 0 2 4 2],1
[2 0 2 4 2 1],0
[0 2 4 2 1 0],4
[2 4 2 1 0 4],2
[4 2 1 0 4 2],2
[2 1 0 4 2 2],3
[1 0 4 2 2 3],7
[0 4 2 2 3 7],5
[4 2 2 3 7 5],5
[2 2 3 7 5 5],13
[2 3 7 5 5 13],17
[3 7 5 5 13 17],31
[7 5 5 13 17 31],36
[5 5 13 17 31 36],41
[5 13 17 31 36 41],86
[13 17 31 36 41 86],105
[17 31 36 41 86 105],140
[31 36 41 86 105 140],201
[36 41 86 105 140 201],277
[41 86 105 140 201 277],261
[86 105 140 201 277 261],257
[105 140 201 277 261 257],220
[140 201 277 261 257 220],204
[201 277 261 257 220 204],185
[277 261 257 220 204 185],160
[261 257 220 204 185 160],113
[257 220 204 185 160 113],106
[220 204 185 160 113 106],98
[204 185 160 113 106 98],88
[185 160 113 106 98 88],111
[160 113 106 98 88 111],111
[113 106 98 88 111 111],97
[106 98 88 111 111 97],74
[98 88 111 111 97 74],88
[88 111 111 97 74 88],87
[111 111 97 74 88 87],92
[111 97 74 88 87 92],99
[97 74 88 87 92 99],75
[74 88 87 92 99 75],95
[88 87 92 99 75 95],92
[87 92 99 75 95 92],102
[92 99 75 95 92 102],81
[99 75 95 92 102 81],76
[75 95 92 102 81 76],67
[95 92 102 81 76 67],81
[92 102 81 76 67 81],100
[102 81 76 67 81 100],109
[81 76 67 81 100 109],88
[76 67 81 100 109 88],100
[67 81 100 109 88 100],111
[81 100 109 88 100 111],102
[100 109 88 100 111 102],86
[109 88 100 111 102 86],81
[88 100 111 102 86 81],104
[100 111 102 86 81 104],91
[111 102 86 81 104 91],88
[102 86 81 104 91 88],107
[86 81 104 91 88 107],119
[81 104 91 88 107 119],87
[104 91 88 107 119 87],93
[91 88 107 119 87 93],77
[88 107 119 87 93 77],78
[107 119 87 93 77 78],73
[119 87 93 77 78 73],74
[87 93 77 78 73 74],67
[93 77 78 73 74 67],71
[77 78 73 74 67 71],43
[78 73 74 67 71 43],51
[73 74 67 71 43 51],44
[74 67 71 43 51 44],40
[67 71 43 51 44 40],40
[71 43 51 44 40 40],33
[43 51 44 40 40 33],34
[51 44 40 40 33 34],38
[44 40 40 33 34 38],30
[40 40 33 34 38 30],37
[40 33 34 38 30 37],18
[33 34 38 30 37 18],29
[34 38 30 37 18 29],25
[38 30 37 18 29 25],14
[30 37 18 29 25 14],13
[37 18 29 25 14 13],12
[18 29 25 14 13 12],7
[29 25 14 13 12 7],6
[9 6 7 5 2 1],2
[6 7 5 2 1 2],2
[7 5 2 1 2 2],1
[5 2 1 2 2 1],1
[2 1 2 2 1 1],1
[1 2 2 1 1 1],1
[2 2 1 1 1 1],2
[2 1 1 1 1 2],4
[1 1 1 1 2 4],3
[1 1 1 2 4 3],7
[1 1 2 4 3 7],2
[1 2 4 3 7 2],2
[2 4 3 7 2 2],7
[4 3 7 2 2 7],6
[3 7 2 2 7 6],12
[7 2 2 7 6 12],15
[2 2 7 6 12 15],16
[2 7 6 12 15 16],41
[7 6 12 15 16 41],32
[6 12 15 16 41 32],56
[12 15 16 41 32 56],87
[15 16 41 32 56 87],131
[16 41 32 56 87 131],153
[41 32 56 87 131 153],259
[32 56 87 131 153 259],238
[56 87 131 153 259 238],306
[87 131 153 259 238 306],275
[131 153 259 238 306 275],220
[153 259 238 306 275 220],202
[259 238 306 275 220 202],187
[238 306 275 220 202 187],166
[306 275 220 202 187 166],143
[275 220 202 187 166 143],119
[220 202 187 166 143 119],114
[202 187 166 143 119 114],103
[187 166 143 119 114 103],91
[166 143 119 114 103 91],100
[143 119 114 103 91 100],99
[119 114 103 91 100 99],108
[114 103 91 100 99 108],98
[103 91 100 99 108 98],104
[91 100 99 108 98 104],93
[100 99 108 98 104 93],109
[99 108 98 104 93 109],107
[108 98 104 93 109 107],83
[98 104 93 109 107 83],85
[104 93 109 107 83 85],81
[93 109 107 83 85 81],76
[109 107 83 85 81 76],89
[107 83 85 81 76 89],82
[83 85 81 76 89 82],98
[85 81 76 89 82 98],104
[81 76 89 82 98 104],103
[76 89 82 98 104 103],111
[89 82 98 104 103 111],108
[82 98 104 103 111 108],128
[98 104 103 111 108 128],91
[104 103 111 108 128 91],94
[103 111 108 128 91 94],81
[111 108 128 91 94 81],93
[108 128 91 94 81 93],81
[128 91 94 81 93 81],76
[91 94 81 93 81 76],101
[94 81 93 81 76 101],105
[81 93 81 76 101 105],80
[93 81 76 101 105 80],88
[81 76 101 105 80 88],91
[76 101 105 80 88 91],88
[101 105 80 88 91 88],77
[105 80 88 91 88 77],68
[80 88 91 88 77 68],96
[88 91 88 77 68 96],72
[91 88 77 68 96 72],65
[88 77 68 96 72 65],63
[77 68 96 72 65 63],44
[68 96 72 65 63 44],47
[96 72 65 63 44 47],35
[72 65 63 44 47 35],37
[65 63 44 47 35 37],43
[63 44 47 35 37 43],42
[44 47 35 37 43 42],20
[47 35 37 43 42 20],28
[35 37 43 42 20 28],27
[37 43 42 20 28 27],21
[43 42 20 28 27 21],26
